id,name,city_id
275,"Boland Park, Paarl",54
276,Sheikhupura Stadium,150
277,"Niaz Stadium, Hyderabad",136
278,Dubai Sports City Cricket Stadium,122
283,VRA Ground,128
284,"McLean Park, Napier",38
294,Maple Leaf North-West Ground,132
299,"Wanderers Cricket Ground, Windhoek",91
302,"Sportpark Maarschalkerweerd, Utrecht",141
279,VRA Cricket Ground,128
281,"Riverway Stadium, Townsville",110
282,ICC Global Cricket Academy,122
285,"Jade Stadium, Christchurch",39
289,"MA Aziz Stadium, Chittagong",116
292,"Hagley Oval, Christchurch",39
293,"Boland Bank Park, Paarl",54
300,"Sir Vivian Richards Stadium, North Sound, Antigua",24
280,Mombasa Sports Club Ground,151
287,"Arnos Vale Ground, Kingstown, St Vincent",115
288,"Iqbal Stadium, Faisalabad",99
298,"County Ground, Chelmsford",140
301,Tribhuvan University International Cricket Ground,129
286,"Queen''s Park (New), St George''s, Grenada",72
290,"Mannofield Park, Aberdeen",120
291,Sinhalese Sports Club,13
295,Bert Sutcliffe Oval,137
296,Sportpark Het Schootsveld,138
297,"Mission Road Ground, Mong Kok",139
303,"ICC Academy, Dubai",122
304,"Choice Moosa Stadium, Pearland",142
305,"Moosa Cricket Stadium, Pearland",142
306,"St George''s Park, Gqeberha",70
307,"University Oval, Dunedin",51
308,"Amini Park, Port Moresby",143
309,Mulpani Cricket Ground,144
310,Affies Park,91
311,Wanderers Cricket Ground,91
312,Ruaraka Sports Club Ground,98
313,Jaffery Sports Club Ground,98
314,"City Oval, Pietermaritzburg",145
315,Central Broward Regional Park Stadium Turf Ground,146
316,"Saxton Oval, Nelson",8
317,"Toronto Cricket, Skating and Curling Club",147
318,Maple Leaf North-West Ground,147
